Date,State,Weekly Cases,Weekly Tests,Test Positivity Rate
2021-05-18,Ladakh,1220,13886,0.088
2021-05-18,Lakshadweep,1125,8794,0.128
2021-05-18,Madhya Pradesh,51486,468450,0.11
2021-05-18,Maharashtra,253577,1739926,0.146
2021-05-18,Manipur,4313,23060,0.187
2021-05-18,Meghalaya,4293,24385,0.176
2021-05-18,Nagaland,2162,9131,0.237
2021-05-18,Odisha,78636,385420,0.204
2021-05-18,Puducherry,12725,63816,0.199
2021-05-18,Punjab,52384,469169,0.112
2021-05-18,Rajasthan,90390,451347,0.2
2021-05-18,Sikkim,1524,4723,0.323
2021-05-18,Tamil Nadu,225841,1123025,0.201
2021-05-18,Telangana,29778,441716,0.067
2021-05-18,Tripura,3739,44177,0.085
2021-05-18,Uttar Pradesh,92451,1826906,0.051
2021-05-18,Uttarakhand,38856,218212,0.178
2021-05-18,West Bengal,139121,468930,0.297
2021-05-19,Andaman and Nicobar Islands,239,2793,0.086
2021-05-19,Andhra Pradesh,154146,635950,0.242
2021-05-19,Arunachal Pradesh,1945,24311,0.08
2021-05-19,Assam,36915,495008,0.075
2021-05-19,Bihar,47741,836997,0.057
2021-05-19,Chandigarh,4294,23066,0.186
2021-05-19,Chhattisgarh,48001,457374,0.105
2021-05-19,Delhi,44733,446453,0.1
2021-05-19,Goa,12346,35337,0.349
2021-05-19,Gujarat,56836,847781,0.067
2021-05-19,Haryana,63765,427320,0.149
2021-05-19,Himachal Pradesh,24338,98666,0.247
2021-05-19,Jammu and Kashmir,26481,270353,0.098
2021-05-19,Jharkhand,21571,368471,0.059
2021-05-19,Karnataka,253464,806358,0.314
2021-05-19,Kerala,222534,871244,0.255
2021-05-19,Ladakh,1111,11616,0.096
2021-05-19,Lakshadweep,1264,10822,0.117
2021-05-19,Madhya Pradesh,47581,476529,0.1
2021-05-19,Maharashtra,240827,1773406,0.136
2021-05-19,Manipur,4229,22635,0.187
2021-05-19,Meghalaya,4759,23953,0.199
2021-05-19,Mizoram,1217,26670,0.046
2021-05-19,Nagaland,2068,8839,0.234
2021-05-19,Odisha,78753,396739,0.199
2021-05-19,Puducherry,12477,63647,0.196
2021-05-19,Punjab,50415,477545,0.106
2021-05-19,Rajasthan,83855,429002,0.195
2021-05-19,Sikkim,1569,4831,0.325
2021-05-19,Tamil Nadu,230361,1137024,0.203
2021-05-19,Telangana,28892,443261,0.065
2021-05-19,Tripura,4202,48974,0.086
2021-05-19,Uttar Pradesh,81614,1879531,0.043
2021-05-19,Uttarakhand,35599,220080,0.162
2021-05-19,West Bengal,137750,469189,0.294
2021-05-20,Andhra Pradesh,154357,640785,0.241
